Teams,Conference,2023 Returning Production,2023 Recruiting Class,2023 Offense EFF,2023 Defense EFF,2023 Special Teams EFF,2023 FPI,6+ Wins 2023,Made Playoffs 2023,Made National Championship 2023,Won National Championship 2023,2024 Returning Production,2024 Recruiting Class,2024 Offense EFF,2024 Defense EFF,2024 Special Teams EFF,2024 FPI,6+ Wins 2024,Made Playoffs 2024,Made National Championship 2024,Won National Championship 2024,2025 Returning Production,2025 Recruiting Class
UNLV,Mountain West,,,49.9,40.5,67,-1.8,1,0,0,0,0.62,193.27,56.5,72.9,64.9,6.6,1,0,0,0,0.32,187.14
USC,Big 10,,,85.7,41.5,67.6,14,1,0,0,0,0.6,262.69,73.1,61.9,51.4,14,1,0,0,0,0.46,266.58
USF,AAC,,,43,37.2,58.1,-7.7,1,0,0,0,0.79,201.17,35.9,47.5,65.3,-3.5,1,0,0,0,0.67,190.72
Utah,Big 12,,,44.2,74.7,51.6,9.6,1,0,0,0,0.66,223.89,30.2,79.6,59.8,5.3,0,0,0,0,0.61,217.49
Utah State,Mountain West,,,46,29.3,39.6,-9.6,1,0,0,0,0.57,176.14,41.7,20.6,45.8,-10.8,0,0,0,0,0.36,167.54
UTEP,CUSA,,,32.8,25.9,44.4,-14.9,0,0,0,0,0.44,180.62,12.4,38,40,-19.6,0,0,0,0,0.61,182.42
UTSA,AAC,,,50.3,52,58.3,2,1,0,0,0,0.59,200.73,39.9,50.2,50.9,-3.7,1,0,0,0,0.63,175.75
Vanderbilt,SEC,,,23.9,37,56.7,-8.7,0,0,0,0,0.64,221.9,67.2,48.5,69.7,6.7,1,0,0,0,0.7,212.01
Virginia,ACC,,,44.1,50.4,40.1,-5.1,0,0,0,0,0.81,199.99,38.9,51.9,56.1,-1.9,0,0,0,0,0.61,214.46
Virginia Tech,ACC,,,60.2,49.3,61.6,5.1,1,0,0,0,0.84,218.47,51.1,71.1,63,7.9,1,0,0,0,0.54,216.84
Wake Forest,ACC,,,37.7,52.1,52,-1.7,0,0,0,0,0.61,201.05,44.2,41.5,46.2,-5.4,0,0,0,0,0.5,200.87
Washington,Big 10,,,85.4,64.7,56.7,17.3,1,1,1,0,0.4,237.5,59.3,61.4,32.7,6,1,0,0,0,0.52,243.68
Washington State,Pac-12,,,54.5,61.6,59.9,3.3,0,0,0,0,0.55,189.63,65.4,40.5,43.3,0.7,1,0,0,0,0.27,185.06
West Virginia,Big 12,,,68.2,57.6,59.1,7.1,1,0,0,0,0.68,211.46,64.7,31.7,60.4,1.6,1,0,0,0,0.46,215.98
Western Michigan,MAC,,,38.9,24.9,43,-13.9,0,0,0,0,0.73,181.19,52.8,23.4,66.6,-10.3,1,0,0,0,0.37,165.91
Wisconsin,Big 10,,,48.5,62.4,56,6.6,1,0,0,0,0.68,248.26,42.1,62.6,60,5.1,0,0,0,0,0.64,244
WKU,CUSA,,,46.7,43.5,42.4,-5.5,1,0,0,0,0.6,181.64,42,40.8,63.2,-7.9,1,0,0,0,0.34,182.51
Wyoming,Mountain West,,,49.7,54,51.4,-1.8,1,0,0,0,0.6,155.19,21.3,41.2,50.8,-11.3,0,0,0,0,0.64,164.73
